BatterID,PitcherID,OPS
10000436,10000249,0.25
10001911,10000564,0.347
10000590,10000342,0.182
10000209,10001064,0.182
10000450,10000564,0.166
10000260,10001064,0
10000777,10001187,0.143
10003193,10000193,0
10000350,10000564,0
10000302,10000193,0.167
10000690,10001187,0
10000442,10000335,0.481
10001274,10002091,0.905
10001322,10000469,1.134
10000045,10000469,1.617
10001222,10001065,0.636
10001223,10000569,2.285
10006662,10000335,1.324
10000129,10000469,0.511
10000174,10001065,1.8
10000450,10000569,0.855
10000857,10005315,1.939
10000448,10005232,1.326
10005363,10002091,0.619
10000953,10000805,0.6
10000870,10005315,0.58
10001095,10001065,0.669
10000389,10001065,0.47
10000137,10000469,0.485
10000916,10000469,0.395
10000487,10000095,1.8
10000485,10000095,1.738
10000918,10000095,0.858
10001314,10000569,1
10001216,10005232,0.75
10001123,10001065,0.733
10001911,10000569,0.666
10000209,10001303,1.084
10000350,10000569,0.899
10001038,10000569,0.777
10000121,10000469,0.964
10000314,10005232,0.606
10001271,10002091,0.583
10001267,10002091,0.517
10000593,10000335,0.65
10006212,10000805,1.1
10000491,10005315,0.833
10001261,10002091,0.762
10000352,10000569,0.661
10001279,10002091,1.158
10005235,10005232,1.089
10000771,10000843,0.572
10001129,10001065,0.958
10000859,10005315,0.321
10001088,10002077,0.334
10000955,10000805,0.467
10000125,10000469,0.286
10000600,10000335,0.649
10000496,10000095,0.533
10001089,10000843,0.5
10001139,10001065,0.334
10000084,10000335,0.334
10001130,10001065,0.268
10000219,10000335,0.286
10001966,10002091,0.821
10000854,10000095,0.429
10000994,10000469,0.476
10003232,10000805,0.222
10001010,10001065,0.35
10002005,10000805,0.118
10006561,10002077,0.143
10000590,10000335,0
10002087,10005315,0.5
10005589,10000095,0.333
10001212,10000335,0
10000304,10000335,0.111
10001907,10005232,0.5
10000777,10005315,0.333
10000455,10000519,0.846
10000448,10001350,1.248
10000137,10000850,1.108
10000314,10001350,0.92
10000584,10000276,0.961
10000258,10001353,1.228
10000733,10000193,1.111
10000635,10001350,1
10001085,10000746,0.581
10001319,10001350,0.581
10000539,10000193,0.811
10001090,10000746,0.705
10001009,10000276,0.916
10007200,10001353,1.857
10000731,10000746,1.084
10000446,10000746,0.921
10000125,10000850,0.671
10000439,10000519,0.56
10000266,10001353,1.571
10000859,10001017,0.896
10000440,10000519,0.548
10000129,10000850,0.531
10000675,10006571,1.571
10001011,10000276,1.301
10000723,10005587,1
10000678,10006571,0.858
10000260,10001353,1.319
10000261,10001353,0.733
10006354,10000850,1
10001094,10000746,0.767
10001000,10000276,0.467
10001083,10000746,0.517
10002054,10001353,0.583
10001216,10001350,0.786
10005235,10001350,0.667
10005834,10000276,1.1
10000691,10000193,0.666
10000312,10005587,0.666
10000685,10006571,0.666
10005366,10000746,0.953
10000406,10000276,1
10005299,10000276,0.73
10000770,10001072,1
10001907,10001350,0.804
10000990,10000276,0.715
10000771,10001072,0.73
10000305,10001350,0.65
10000679,10006571,0.875
10000445,10000193,0.495
10000437,10000519,0.473
10000769,10001072,0.705
10000870,10001017,0.432
10000045,10000850,0.523
10001005,10001017,0.614
10000813,10001350,0.404
10000827,10001350,0.25
10002087,10001017,1.133
10001322,10000850,0.367
10001274,10006438,0.453
10005308,10000519,0.834
10001280,10000519,0.542
10000681,10000746,0.286
10005363,10006438,0.282
10000690,10001017,0.35
10000492,10000193,0.143
10000121,10000850,0
10000494,10001072,0.182
10006044,10000746,0
10000137,10000848,0.808
10000129,10000848,1.076
10000870,10000101,0.88
10000125,10000848,0.645
10000045,10000848,0.762
10000357,10000506,0.678
10000859,10000101,0.586
10001322,10000848,0.547
10002013,10000330,1.533
10002087,10000101,1.846
10000312,10002066,1.247
10000407,10000622,0.981
10000350,10000506,0.693
10000529,10000330,0.385
10001223,10000506,1.583
10000343,10000506,0.85
10000525,10000330,0.48
10001313,10001202,1.318
10000491,10000101,0.647
10000405,10000622,0.675
10000777,10000101,0.718
10001279,10001290,0.836
10000542,10000330,0.668
10001947,10002066,1.334
10001309,10001202,1.6
10000857,10000101,0.78
10003208,10000330,0.607
10000393,10000622,0.819
10000450,10000506,0.49
10000533,10001202,1.5
10000311,10002066,0.717
10000081,10002066,0.546
10001133,10002066,0.523
10000723,10002066,0.819
10005363,10001290,0.9
10000578,10000330,0.813
10000352,10000506,0.423
10000121,10000848,0.471
10000534,10000330,0.374
10001274,10001290,1.262
10003193,10002066,1.232
10000856,10000101,0.661
10001267,10001290,0.65
10000317,10002066,0.522
10001911,10000506,0.773
10000916,10000848,0.614
10000530,10003360,0.432
10006354,10000848,0.364
10001357,10000622,0.364
10001320,10001202,0.536
10001314,10000506,0.646
10005299,10007245,0.708
10000632,10003360,0.5
10000812,10000330,0.334
10001000,10007245,0.5
10001009,10007245,0.393
10000579,10000622,0.375
10001261,10001290,0.25
10000826,10001202,0.458
10001325,10001202,0.222
10000344,10000506,0.375
10001966,10001290,0
10000737,10000622,0.143
10001315,10000330,0
10000860,10003360,0
10003328,10001202,0
10000870,10000113,0.858
10001170,10000613,1.028
10000859,10000113,1.515
10000450,10001025,0.865
10000529,10000328,0.819
10000689,10000613,1.538
10000258,10005327,1.009
10000038,10000367,1.009
